"","year","rgn_id","rgn_name","score_lcv","svi_score","oi_score","bhi_score","social_score"
"1",2005,"5","Connecticut",0.8,0.697963258720081,0.574,0.521,0.64824081468002
"2",2005,"7","Massachusetts-North",0.95,0.605220796863927,0.591,0.716,0.715555199215982
"3",2005,"6","Maine",0.7,0.583175583059675,0.567,0.446,0.574043895764919
"4",2005,"9","New Hampshire",0.35,0.697257228229718,0.604,0.667,0.579564307057429
"5",2005,"10","New York",0.975,0.562893953180936,0.539,0.427,0.625973488295234
"6",2005,"11","Rhode Island",0.95,0.615028618523558,0.509,0.467,0.635257154630889
"7",2006,"5","Connecticut",0.855,0.697963258720081,0.574,0.501,0.65699081468002
"8",2006,"7","Massachusetts-North",0.855,0.605220796863927,0.591,0.728,0.694805199215982
"9",2006,"6","Maine",0.785,0.583175583059675,0.567,0.433,0.592043895764919
"10",2006,"9","New Hampshire",0.43,0.697257228229718,0.604,0.66,0.597814307057429
"11",2006,"10","New York",0.71,0.562893953180936,0.539,0.444,0.563973488295234
"12",2006,"11","Rhode Island",0.855,0.615028618523558,0.509,0.495,0.61850715463089
"13",2007,"5","Connecticut",0.765,0.697963258720081,0.574,0.493,0.63249081468002
"14",2007,"7","Massachusetts-North",0.93,0.605220796863927,0.591,0.707,0.708305199215982
"15",2007,"6","Maine",0.9,0.583175583059675,0.567,0.445,0.623793895764919
"16",2007,"9","New Hampshire",0.565,0.697257228229718,0.604,0.588,0.613564307057429
"17",2007,"10","New York",0.83,0.562893953180936,0.539,0.437,0.592223488295234
"18",2007,"11","Rhode Island",0.93,0.615028618523558,0.509,0.519,0.64325715463089
"19",2008,"5","Connecticut",1,0.697963258720081,0.574,0.516,0.69699081468002
"20",2008,"7","Massachusetts-North",0.68,0.605220796863927,0.591,0.733,0.652305199215982
"21",2008,"6","Maine",0.955,0.583175583059675,0.567,0.47,0.643793895764919
"22",2008,"9","New Hampshire",0.225,0.697257228229718,0.604,0.563,0.522314307057429
"23",2008,"10","New York",0.635,0.562893953180936,0.539,0.438,0.543723488295234
"24",2008,"11","Rhode Island",1,0.615028618523558,0.509,0.458,0.645507154630889
"25",2009,"5","Connecticut",1,0.697963258720081,0.574,0.481,0.68824081468002
"26",2009,"7","Massachusetts-North",1,0.605220796863927,0.591,0.704,0.725055199215982
"27",2009,"6","Maine",0.685,0.583175583059675,0.567,0.505,0.585043895764919
"28",2009,"9","New Hampshire",0.59,0.697257228229718,0.604,0.57,0.615314307057429
"29",2009,"10","New York",1,0.562893953180936,0.539,0.437,0.634723488295234
"30",2009,"11","Rhode Island",1,0.615028618523558,0.509,0.468,0.64800715463089
"31",2010,"5","Connecticut",0.64,0.687259940784064,0.574,0.473,0.593564985196016
"32",2010,"7","Massachusetts-North",0.43,0.614015966673123,0.591,0.676,0.577753991668281
"33",2010,"6","Maine",0,0.584930297793625,0.567,0.465,0.404232574448406
"34",2010,"9","New Hampshire",0.425,0.71443616400706,0.604,0.591,0.583609041001765
"35",2010,"10","New York",1,0.578323469082813,0.539,0.466,0.645830867270703
"36",2010,"11","Rhode Island",1,0.658006915293808,0.509,0.531,0.674501728823452
"37",2011,"5","Connecticut",1,0.695306349046846,0.574,0.488,0.689326587261712
"38",2011,"7","Massachusetts-North",0.68,0.624270663392205,0.591,0.734,0.657317665848051
"39",2011,"6","Maine",0.595,0.589392061326804,0.567,0.456,0.551848015331701
"40",2011,"9","New Hampshire",0.545,0.726184763637151,0.604,0.584,0.614796190909288
"41",2011,"10","New York",1,0.56886794936278,0.539,0.453,0.640216987340695
"42",2011,"11","Rhode Island",1,0.656514528566714,0.509,0.539,0.676128632141679
"43",2012,"5","Connecticut",0.93,0.700760099511927,0.574,0.462,0.666690024877982
"44",2012,"7","Massachusetts-North",0.75,0.627232942713559,0.591,0.777,0.68630823567839
"45",2012,"6","Maine",0.71,0.584823658905283,0.567,0.469,0.582705914726321
"46",2012,"9","New Hampshire",0.645,0.712351012419316,0.604,0.567,0.632087753104829
