"","rgn_id","common","rgn_name","score","present","status_abb","Status","icun_score","av_score","id"
"1",5,"American lobster","Connecticut",1,TRUE,"LC","Least Concern",0,1,1
"2",6,"American lobster","Maine",1,TRUE,"LC","Least Concern",0,1,1
"3",7,"American lobster","Massachusetts-North",1,TRUE,"LC","Least Concern",0,1,1
"4",8,"American lobster","Massachusetts-South",1,TRUE,"LC","Least Concern",0,1,1
"5",9,"American lobster","New Hampshire",1,TRUE,"LC","Least Concern",0,1,1
"6",10,"American lobster","New York",1,TRUE,"LC","Least Concern",0,1,1
"7",11,"American lobster","Rhode Island",1,TRUE,"LC","Least Concern",0,1,1
"8",5,"Atlantic herring","Connecticut",1,TRUE,"LC","Least Concern",0,1,2
"9",6,"Atlantic herring","Maine",1,TRUE,"LC","Least Concern",0,1,2
"10",7,"Atlantic herring","Massachusetts-North",1,TRUE,"LC","Least Concern",0,1,2
"11",8,"Atlantic herring","Massachusetts-South",1,TRUE,"LC","Least Concern",0,1,2
"12",9,"Atlantic herring","New Hampshire",1,TRUE,"LC","Least Concern",0,1,2
"13",10,"Atlantic herring","New York",1,TRUE,"LC","Least Concern",0,1,2
"14",11,"Atlantic herring","Rhode Island",1,TRUE,"LC","Least Concern",0,1,2
"15",5,"Atlantic surfclam","Connecticut",1,TRUE,"LC","Least Concern",0,1,3
"16",6,"Atlantic surfclam","Maine",1,TRUE,"LC","Least Concern",0,1,3
"17",7,"Atlantic surfclam","Massachusetts-North",1,TRUE,"LC","Least Concern",0,1,3
"18",8,"Atlantic surfclam","Massachusetts-South",1,TRUE,"LC","Least Concern",0,1,3
"19",9,"Atlantic surfclam","New Hampshire",1,TRUE,"LC","Least Concern",0,1,3
"20",10,"Atlantic surfclam","New York",1,TRUE,"LC","Least Concern",0,1,3
"21",11,"Atlantic surfclam","Rhode Island",1,TRUE,"LC","Least Concern",0,1,3
"22",5,"Sea scallop","Connecticut",NA,FALSE,NA,NA,NA,1,4
"23",6,"Sea scallop","Maine",1,TRUE,"LC","Least Concern",0,1,4
"24",7,"Sea scallop","Massachusetts-North",1,TRUE,"LC","Least Concern",0,1,4
"25",8,"Sea scallop","Massachusetts-South",1,TRUE,"LC","Least Concern",0,1,4
"26",9,"Sea scallop","New Hampshire",1,TRUE,"LC","Least Concern",0,1,4
"27",10,"Sea scallop","New York",1,TRUE,"LC","Least Concern",0,1,4
"28",11,"Sea scallop","Rhode Island",1,TRUE,"LC","Least Concern",0,1,4
"29",5,"Striped bass","Connecticut",0.6,TRUE,"VU","Vulnerable",0.4,0.885714285714286,5
"30",6,"Striped bass","Maine",1,TRUE,"LC","Least Concern",0,0.885714285714286,5
