common,scientific,group
American oyster,Crossostrea virginia,Invertebrate
Blue crab,Callinectes sapidus,Invertebrate
Horseshoe crab,Limulus polyphemus,Invertebrate
American lobster,Homarus americanus,Invertebrate
Bay scallop,Argopecten irradians,Invertebrate
Sea scallop,Placopecten magellanicus,Invertebrate
Bald eagle,Haliaeetus leucocephalus,Bird
Humpback whale,Megaptera novaeangliae,Mammal
North atlantic right whale,Eubalaena glacialis,Mammal
Sperm whale,Physeter macrocephalus,Mammal
Fin whale,Balaenoptera physalus,Mammal
Bottlenose dolphin,Tursiops truncatus,Mammal
Minke whale,Balaenoptera acutorostrata,Mammal
Atlantic bluefin tuna,Thunnus thynnus,Fish
Arctic tern,Sterna paradisaea,Bird
Atlantic puffin,Fratercula arctica,Bird
Atlantic surfclam,Spissula solidissima,Invertebrate
Soft shell clam,Mya arenaria,Invertebrate
Northern quahog,Mecenaria mercenaria,Invertebrate
Roseate tern,Sterna dougallii,Bird
Atlantic herring,Clupea harengus,Fish
Atlantic cod,Gadus morhua,Fish
Haddock,Melanogrammus aeglefinus,Fish
American shad,Alosa sapidissima,Fish
Alewife,Alosa pseudoharengus,Fish
Atlantic sturgeon,Acipenser oxyrhynchus oxyrhynchus,Fish
Striped bass,Morone saxatilis,Fish
Great white shark,Carcharodon carcharias,Shark
Sandbar shark,Carcharhinus plumbeus,Shark
Atlantic salmon,Salmo salar,Fish,
Piping plover,Charadrius melodus,Bird,
Common tern,Sterna hirundo,Bird,
Least tern,Sternula antillarum,Bird,
Osprey,Pandion haliaetus,Bird
