"","Included","State","Area Name","Management Name","Management Type","Location Designation (our filter)"
"1","Yes","Connecticut","Bluff Point State Park/Natural Area Preserve","State Department of Conservation","State","State Park/Natural Area Preserve"
"2","Yes","Connecticut","Silver Sands State Park/Charles Island Natural Area Preserve","State Department of Conservation","State","State Park/Natural Area Preserve"
"3","Yes","Connecticut","Barn Island Wildlife Management Area","State Department of Conservation","State","Wildlife Management Area"
"4","Yes","Connecticut","Bride Brook Wildlife Management Area","State Department of Conservation","State","Wildlife Management Area"
"5","Yes","Connecticut","Charles E. Wheeler Wildlife Mangement Area","State Department of Conservation","State","Wildlife Management Area"
"6","Yes","Connecticut","Duck Island Wildlife Management Area/Natural Area Preserve (Westbrook)","State Department of Conservation","State","Wildlife Management Area/Natural Area Preserve"
"7","Yes","Connecticut","East Haven Marsh Wildlife Management Area","State Department of Conservation","State","Wildlife Management Area"
"8","Yes","Connecticut","East River Marsh Wildlife Area/ East River Wildlife Area","State Department of Conservation","State","Wildlife Area"
"9","Yes","Connecticut","Ferry Point Marsh Wildlife Area","State Department of Conservation","State","Wildlife Area"
"10","Yes","Connecticut","Great Harbor Wildlife Area","State Department of Conservation","State","Wildlife Area"
"11","Yes","Connecticut","Great Island Wildlife Area/Roger Tory Peterson Natural Area Preserve","State Department of Conservation","State","Wildlife Area/Natural Area Preserve"
"12","Yes","Connecticut","Hager Creek Marsh Wildlife Area","State Department of Conservation","State","Wildlife Area"
"13","Yes","Connecticut","Hammock River Marsh Wildlife Area","State Department of Conservation","State","Wildlife Area"
"14","Yes","Connecticut","Lords Cove Wildlife Area/Natural Area Preserve","State Department of Conservation","State","Wildlife Area/Natural Area Preserve"
"15","Yes","Connecticut","Nott Island Wildlife Area","State Department of Conservation","State","Wildlife Area"
"16","Yes","Connecticut","Pattagansett River Marsh Wildlife Area","State Department of Conservation","State","Wildlife Area"
"17","Yes","Connecticut","Pawcatuck River Wildlife Area","State Department of Conservation","State","Wildlife Area"
"18","Yes","Connecticut","Pine Orchard Marsh Wildlife Area","State Department of Conservation","State","Wildlife Area"
"19","Yes","Connecticut","Plum Bank Marsh Wildlife Area","State Department of Conservation","State","Wildlife Area"
"20","Yes","Connecticut","Popes Island Wildlife Area","State Department of Conservation","State","Wildlife Area"
"21","Yes","Connecticut","Quinnipiac River Marsh Wildlife Area","State Department of Conservation","State","Wildlife Area"
"22","Yes","Connecticut","Ragged Rock Creek Marsh Wildlife Area","State Department of Conservation","State","Wildlife Area"
"23","Yes","Connecticut","Six Penny Island Wildlife Area","State Department of Conservation","State","Wildlife Area"
"24","Yes","Connecticut","South Cove Wildlife Area","State Department of Conservation","State","Wildlife Area"
"25","Yes","Connecticut","Thatch Bed Marsh Wildlife Area","State Department of Conservation","State","Wildlife Area"
"26","Yes","Connecticut","Hammonasset Beach State Park","State Department of Conservation","State","State Park"
"27","Yes","Connecticut","West River Marsh Wildlife Area","State Department of Conservation","State","Wildlife Area"
"28","Yes","Connecticut","Harkness Memorial State Park/William A Niering Natural Area Preserve","State Department of Conservation","State","State Park/Natural Area Preserve"
"29","Yes","Connecticut","Selden Neck State Park/Natural Area Preserve","State Department of Conservation","State","State Park/Natural Area Preserve"
"30","Yes","Connecticut","Hammonasset Natural Area Preserve","State Department of Conservation","State","Natural Area Preserve"
"31","Yes","Massachusetts","Albert Gallatin Exempt Site","Other or Unknown State Land","State","Shipwreck"
"32","Yes","Massachusetts","Alice M. Colburn Exempt Site","Other or Unknown State Land","State","Shipwreck"
"33","Yes","Massachusetts","Alice M. Lawrence Exempt Site","Other or Unknown State Land","State","Shipwreck"
"34","Yes","Massachusetts","Ardandhu Exempt Site","Other or Unknown State Land","State","Shipwreck"
"35","Yes","Massachusetts","Barge and Crane Exempt Site","Other or Unknown State Land","State","Shipwreck"
"36","Yes","Massachusetts","California Exempt Site","Other or Unknown State Land","State","Shipwreck"
"37","Yes","Massachusetts","Charles S. Haight Exempt Site","Other or Unknown State Land","State","Shipwreck"
"38","Yes","Massachusetts","Chester A. Poling Exempt Site","Other or Unknown State Land","State","Shipwreck"
"39","Yes","Massachusetts","Chelsea Exempt Site","Other or Unknown State Land","State","Shipwreck"
"40","Yes","Massachusetts","City of Salisbury Exempt Site","Other or Unknown State Land","State","Shipwreck"
"41","Yes","Massachusetts","Corvan Exempt Site","Other or Unknown State Land","State","Shipwreck"
"42","Yes","Massachusetts","Dixie Sword Exempt Site","Other or Unknown State Land","State","Shipwreck"
"43","Yes","Massachusetts","Edward Rich Exempt Site","Other or Unknown State Land","State","Shipwreck"
"44","Yes","Massachusetts","Henry Endicott Exempt Site","Other or Unknown State Land","State","Shipwreck"
"45","Yes","Massachusetts","Herbert Exempt Site","Other or Unknown State Land","State","Shipwreck"
"46","Yes","Massachusetts","Herman Winter Exempt Site","Other or Unknown State Land","State","Shipwreck"
"47","Yes","Massachusetts","Hilda Garston Exempt Site","Other or Unknown State Land","State","Shipwreck"
"48","Yes","Massachusetts","James S. Longstreet Exempt Site","Other or Unknown State Land","State","Shipwreck"
"49","Yes","Massachusetts","John Dwight Exempt Site","Other or Unknown State Land","State","Shipwreck"
"50","Yes","Massachusetts","Kershaw Exempt Site","Other or Unknown State Land","State","Shipwreck"
"51","Yes","Massachusetts","Kiowa Exempt Site","Other or Unknown State Land","State","Shipwreck"
"52","Yes","Massachusetts","Lackawana Exempt Site","Other or Unknown State Land","State","Shipwreck"
"53","Yes","Massachusetts","Lunet Exempt Site","Other or Unknown State Land","State","Shipwreck"
"54","Yes","Massachusetts","Mars Exempt Site","Other or Unknown State Land","State","Shipwreck"
"55","Yes","Massachusetts","Pemberton Exempt Site","Other or Unknown State Land","State","Shipwreck"
"56","Yes","Massachusetts","Pendleton Exempt Site","Other or Unknown State Land","State","Shipwreck"
"57","Yes","Massachusetts","Pinthis Exempt Site","Other or Unknown State Land","State","Shipwreck"
"58","Yes","Massachusetts","Port Hunter Exempt Site","Other or Unknown State Land","State","Shipwreck"
"59","Yes","Massachusetts","Pottstown Exempt Site","Other or Unknown State Land","State","Shipwreck"
"60","Yes","Massachusetts","Romance Exempt Site","Other or Unknown State Land","State","Shipwreck"
"61","Yes","Massachusetts","Seaconnet Exempt Site","Other or Unknown State Land","State","Shipwreck"
"62","Yes","Massachusetts","Trojan Exempt Site","Other or Unknown State Land","State","Shipwreck"
"63","Yes","Massachusetts","U.S.S. Grouse Exempt Site","Other or Unknown State Land","State","Shipwreck"
