point,min,state
1,0.15962166190193816,ME
2,0.15962166190193816,ME
29,0.45473383915344756,ME
30,0.45473383915344756,ME
49,0.022519258565797933,ME
50,0.022519258565797933,ME
67,0.5337991835983448,ME
68,0.5337991835983448,ME
89,0.6720823130680639,ME
90,0.02520435146700831,ME
91,0.02520435146700831,ME
96,0.03867596122723134,ME
97,0.03867596122723134,ME
123,0.27421525094092586,ME
124,0.27421525094092586,ME
125,0.609847205762003,ME
139,0.2360830399454839,ME
140,0.2360830399454839,ME
157,0.07788089016151978,ME
158,0.07788089016151978,ME
178,0.30861306862597515,ME
179,0.30861306862597515,ME
197,0.01637165296519285,ME
198,0.01637165296519285,ME
208,0.03515293576028569,ME
209,0.17341511152409772,ME
210,0.3136530493612897,ME
211,0.03515293576028569,ME
212,0.04912242199045192,ME
242,0.003706964838474361,ME
243,0.003706964838474361,ME
267,0.0224696808845452,ME
268,0.0224696808845452,ME
316,0.04058038314752402,ME
317,0.04058038314752402,ME
322,0.054561422519242966,ME
323,0.054561422519242966,ME
325,0.4516276444209519,ME
326,0.4516276444209519,ME
337,0.28765693010613747,ME
338,0.28765693010613747,ME
376,0.777849666880129,ME
377,0.777849666880129,ME
381,0.16670954293613083,ME
382,0.16670954293613083,ME
393,0.6784359708705766,ME
394,0.6784359708705766,ME
450,0.07797865251680057,ME
451,0.07797865251680057,ME
455,0.18297994915694427,ME
456,0.18297994915694427,ME
470,0.0685747899844375,ME
471,0.0685747899844375,ME
492,0.01588797326703196,ME
493,0.01588797326703196,ME
526,0.6849913988734226,ME
527,0.6849913988734226,ME
529,0.22274891043371509,ME
530,0.22274891043371509,ME
531,0.2583357138100425,ME
532,0.2583357138100425,ME
555,0.41255131561327424,ME
556,0.41255131561327424,ME
559,0.1930691788615679,ME
560,0.27338983229082525,ME
561,0.1930691788615679,ME
574,0.17031627389803036,ME
575,0.17031627389803036,ME
577,0.27126051158622044,ME
578,0.08554412616321865,ME
579,0.08554412616321865,ME
635,0.3219666205405937,ME
636,0.3219666205405937,ME
648,0.14263514481210793,ME
649,0.451651060465196,ME
650,0.1799033548991386,ME
651,0.14263514481210793,ME
652,0.22103354494816269,ME
653,0.22103354494816269,ME
671,0.008139284906381598,ME
672,0.008139284906381598,ME
675,0.336297035856486,ME
676,0.336297035856486,ME
700,0.8107982032597465,ME
701,0.8107982032597465,ME
730,0.01102461631059471,ME
731,0.01102461631059471,ME
745,0.5087950712931067,ME
746,0.5087950712931067,ME
757,0.0018527523578469275,ME
758,0.0018527523578469275,ME
777,0.010165182606037567,ME
778,0.010165182606037567,ME
783,0.009885616156656922,ME
784,0.009885616156656922,ME
789,0.1653757757154357,ME
790,0.1653757757154357,ME
791,0.32134850464323694,ME
796,0.5673392600864318,ME
797,0.5673392600864318,ME
830,0.9274779978575701,ME
831,0.9274779978575701,ME
844,0.038944456264151446,ME
845,0.038944456264151446,ME
846,0.30606559256535176,ME
847,0.30606559256535176,ME
861,0.1650744020020206,ME
862,0.1650744020020206,ME
898,0.4018876514782467,ME
899,0.4018876514782467,ME
