"","Year","rgn_id","rgn_name","Employment","Sector"
"1",2016,5,"Connecticut",38625,"Tourism & Recreation"
"2",2015,5,"Connecticut",37584,"Tourism & Recreation"
"3",2014,5,"Connecticut",37348,"Tourism & Recreation"
"4",2013,5,"Connecticut",36323,"Tourism & Recreation"
"5",2012,5,"Connecticut",34031,"Tourism & Recreation"
"6",2011,5,"Connecticut",32190,"Tourism & Recreation"
"7",2010,5,"Connecticut",30780,"Tourism & Recreation"
"8",2009,5,"Connecticut",30642,"Tourism & Recreation"
"9",2008,5,"Connecticut",NA,"Tourism & Recreation"
"10",2007,5,"Connecticut",30373,"Tourism & Recreation"
"11",2006,5,"Connecticut",29188,"Tourism & Recreation"
"12",2005,5,"Connecticut",28436,"Tourism & Recreation"
"13",2016,6,"Maine",31835,"Tourism & Recreation"
"14",2015,6,"Maine",30865,"Tourism & Recreation"
"15",2014,6,"Maine",30437,"Tourism & Recreation"
"16",2013,6,"Maine",30166,"Tourism & Recreation"
"17",2012,6,"Maine",29785,"Tourism & Recreation"
"18",2011,6,"Maine",29118,"Tourism & Recreation"
"19",2010,6,"Maine",27583,"Tourism & Recreation"
"20",2009,6,"Maine",26663,"Tourism & Recreation"
"21",2008,6,"Maine",26815,"Tourism & Recreation"
"22",2007,6,"Maine",27151,"Tourism & Recreation"
"23",2006,6,"Maine",26829,"Tourism & Recreation"
"24",2005,6,"Maine",27008,"Tourism & Recreation"
"25",2016,9,"New Hampshire",7624,"Tourism & Recreation"
"26",2015,9,"New Hampshire",7404,"Tourism & Recreation"
"27",2014,9,"New Hampshire",7134,"Tourism & Recreation"
"28",2013,9,"New Hampshire",7259,"Tourism & Recreation"
"29",2012,9,"New Hampshire",6930,"Tourism & Recreation"
"30",2011,9,"New Hampshire",6046,"Tourism & Recreation"
"31",2010,9,"New Hampshire",6379,"Tourism & Recreation"
"32",2009,9,"New Hampshire",6197,"Tourism & Recreation"
"33",2008,9,"New Hampshire",6395,"Tourism & Recreation"
"34",2007,9,"New Hampshire",6547,"Tourism & Recreation"
"35",2006,9,"New Hampshire",6918,"Tourism & Recreation"
"36",2005,9,"New Hampshire",6510,"Tourism & Recreation"
"37",2016,10,"New York",342796,"Tourism & Recreation"
"38",2015,10,"New York",333745,"Tourism & Recreation"
"39",2014,10,"New York",319388,"Tourism & Recreation"
"40",2013,10,"New York",300752,"Tourism & Recreation"
"41",2012,10,"New York",285525,"Tourism & Recreation"
"42",2011,10,"New York",268851,"Tourism & Recreation"
"43",2010,10,"New York",250879,"Tourism & Recreation"
"44",2009,10,"New York",238862,"Tourism & Recreation"
"45",2008,10,"New York",240784,"Tourism & Recreation"
"46",2007,10,"New York",233362,"Tourism & Recreation"
"47",2006,10,"New York",222937,"Tourism & Recreation"
"48",2005,10,"New York",217333,"Tourism & Recreation"
"49",2016,11,"Rhode Island",36048,"Tourism & Recreation"
"50",2015,11,"Rhode Island",35050,"Tourism & Recreation"
"51",2014,11,"Rhode Island",34757,"Tourism & Recreation"
"52",2013,11,"Rhode Island",34089,"Tourism & Recreation"
"53",2012,11,"Rhode Island",32967,"Tourism & Recreation"
"54",2011,11,"Rhode Island",31796,"Tourism & Recreation"
"55",2010,11,"Rhode Island",31245,"Tourism & Recreation"
"56",2009,11,"Rhode Island",31005,"Tourism & Recreation"
"57",2008,11,"Rhode Island",32296,"Tourism & Recreation"
"58",2007,11,"Rhode Island",32329,"Tourism & Recreation"
"59",2006,11,"Rhode Island",31459,"Tourism & Recreation"
"60",2005,11,"Rhode Island",31111,"Tourism & Recreation"
"61",2016,7,"Massachusetts-North",56463,"Tourism & Recreation"
"62",2016,8,"Massachusetts-South",18499,"Tourism & Recreation"
"63",2015,7,"Massachusetts-North",55156,"Tourism & Recreation"
"64",2015,8,"Massachusetts-South",18326,"Tourism & Recreation"
"65",2014,7,"Massachusetts-North",52220,"Tourism & Recreation"
"66",2014,8,"Massachusetts-South",17520,"Tourism & Recreation"
"67",2013,7,"Massachusetts-North",50901.5,"Tourism & Recreation"
"68",2013,8,"Massachusetts-South",16452.5,"Tourism & Recreation"
"69",2012,7,"Massachusetts-North",49779.5,"Tourism & Recreation"
"70",2012,8,"Massachusetts-South",17334.5,"Tourism & Recreation"
"71",2011,7,"Massachusetts-North",48891,"Tourism & Recreation"
"72",2011,8,"Massachusetts-South",16472,"Tourism & Recreation"
"73",2010,7,"Massachusetts-North",45894,"Tourism & Recreation"
"74",2010,8,"Massachusetts-South",16170,"Tourism & Recreation"
"75",2009,7,"Massachusetts-North",44895.5,"Tourism & Recreation"
"76",2009,8,"Massachusetts-South",15686.5,"Tourism & Recreation"
"77",2008,7,"Massachusetts-North",45331,"Tourism & Recreation"
"78",2008,8,"Massachusetts-South",15737,"Tourism & Recreation"
"79",2007,7,"Massachusetts-North",44790.5,"Tourism & Recreation"
"80",2007,8,"Massachusetts-South",15640.5,"Tourism & Recreation"
"81",2006,7,"Massachusetts-North",41999,"Tourism & Recreation"
"82",2006,8,"Massachusetts-South",14147,"Tourism & Recreation"
"83",2005,7,"Massachusetts-North",43439.5,"Tourism & Recreation"
"84",2005,8,"Massachusetts-South",14275.5,"Tourism & Recreation"
"85",2005,12,"Northeast",368113,"Tourism & Recreation"
"86",2006,12,"Northeast",373477,"Tourism & Recreation"
"87",2007,12,"Northeast",390193,"Tourism & Recreation"
"88",2008,12,"Northeast",367358,"Tourism & Recreation"
"89",2009,12,"Northeast",393951,"Tourism & Recreation"
"90",2010,12,"Northeast",408930,"Tourism & Recreation"
"91",2011,12,"Northeast",433364,"Tourism & Recreation"
"92",2012,12,"Northeast",456352,"Tourism & Recreation"
"93",2013,12,"Northeast",475943,"Tourism & Recreation"
"94",2014,12,"Northeast",498804,"Tourism & Recreation"
"95",2015,12,"Northeast",518130,"Tourism & Recreation"
"96",2016,12,"Northeast",531890,"Tourism & Recreation"
